Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783599048,10,,Aggregated,2.900000,0.000000,3,3,3,4,5,65,170,180,190,190,190,169,0,3,10.381751538428427,1.1064450009143911,187.50065700078267,134.8639053254438
1783599049,10,,Aggregated,2.800000,0.000000,3,3,3,4,5,65,170,180,190,190,190,170,0,3,10.338923629387864,1.1064450009143911,187.50065700078267,134.8470588235294
1783599050,10,,Aggregated,2.800000,0.000000,3,3,3,4,5,65,170,180,190,190,190,173,0,3,10.211114502874286,1.1064450009143911,187.50065700078267,134.79768786127167
1783599051,10,,Aggregated,2.800000,0.000000,3,3,3,4,5,65,170,180,190,190,190,176,0,3,10.082933818177315,1.1064450009143911,187.50065700078267,134.75
1783599052,10,,Aggregated,2.600000,0.000000,3,3,3,4,5,65,170,180,190,190,190,179,0,3,9.96355248041036,1.1064450009143911,187.50065700078267,134.70391061452514
1783599053,10,,Aggregated,2.600000,0.000000,3,3,3,4,4,58,170,180,190,190,190,182,0,3,9.846936390054147,1.1064450009143911,187.50065700078267,134.65934065934067
1783599054,10,,Aggregated,2.800000,0.000000,3,3,3,4,4,58,170,180,190,190,190,184,0,3,9.768353228181418,1.1064450009143911,187.50065700078267,134.6304347826087
1783599055,10,,Aggregated,2.800000,0.000000,3,3,3,4,4,58,170,180,190,190,190,185,0,3,9.73711171882806,1.1064450009143911,187.50065700078267,134.61621621621623
1783599056,10,,Aggregated,2.800000,0.000000,3,3,3,4,4,58,170,180,190,190,190,190,0,3,9.54936002624316,1.1064450009143911,187.50065700078267,134.54736842105262
1783599057,10,,Aggregated,2.500000,0.000000,3,3,3,4,4,58,170,180,190,190,190,192,0,3,9.480856275975688,1.1064450009143911,187.50065700078267,134.52083333333334
1783599058,10,,Aggregated,2.500000,0.000000,3,3,3,4,4,58,170,180,190,190,190,195,0,3,9.382948128152817,1.1064450009143911,187.50065700078267,134.4820512820513
1783599059,10,,Aggregated,2.500000,0.000000,3,3,3,4,4,58,170,180,190,190,190,195,0,3,9.382948128152817,1.1064450009143911,187.50065700078267,134.4820512820513
1783599060,10,,Aggregated,2.600000,0.000000,3,3,3,3,4,7,160,180,190,190,190,201,0,3,9.180846109401912,1.1064450009143911,187.50065700078267,134.40796019900498
1783599061,10,,Aggregated,2.800000,0.000000,3,3,3,3,4,7,160,180,190,190,190,202,0,3,9.149561034604684,1.1064450009143911,187.50065700078267,134.3960396039604
1783599062,10,,Aggregated,3.000000,0.000000,3,3,3,3,4,7,160,180,190,190,190,205,0,3,9.063731663361356,1.1064450009143911,187.50065700078267,134.3609756097561
