waktu,nodes,running,creating,pending
12:00:10,2,22,0,8
12:00:13,2,22,0,8
12:00:16,2,22,0,8
12:00:19,2,22,0,8
12:00:22,2,22,0,8
12:00:24,2,22,0,8
12:00:27,2,22,0,8
12:00:30,2,22,0,8
12:00:33,2,22,0,8
12:00:36,2,22,0,8
12:00:39,2,22,0,16
12:00:42,2,22,0,16
12:00:44,2,22,0,16
12:00:47,2,22,0,16
12:00:50,2,22,0,16
12:00:53,2,22,0,16
12:00:56,2,22,0,16
12:00:59,2,22,0,16
12:01:02,2,22,0,16
12:01:05,2,22,0,16
12:01:08,2,22,0,16
12:01:10,2,22,0,16
12:01:13,2,22,0,16
12:01:16,2,22,0,16
12:01:19,2,22,0,16
12:01:22,2,22,0,16
12:01:25,2,22,0,16
12:01:28,2,22,0,16
12:01:31,2,22,0,16
12:01:34,2,22,0,16
12:01:36,2,22,0,16
12:01:39,2,22,0,24
12:01:42,2,22,0,24
12:01:45,2,22,0,24
12:01:48,2,22,0,24
12:01:51,2,22,0,24
12:01:54,2,22,0,24
12:01:57,2,22,0,24
12:02:00,2,22,0,24
12:02:03,2,22,0,24
12:02:06,2,22,0,24
12:02:08,2,22,0,24
12:02:11,2,22,0,24
12:02:14,2,22,0,24
12:02:17,2,22,0,24
12:02:20,2,22,0,24
12:02:23,2,22,0,24
12:02:26,2,22,0,24
12:02:29,2,22,0,24
12:02:32,2,22,0,24
12:02:35,2,22,0,24
12:02:37,2,22,0,24
12:02:40,2,22,0,32
12:02:43,2,22,0,32
12:02:46,2,22,0,32
12:02:49,2,22,0,32
12:02:51,2,22,0,32
12:02:54,2,22,0,32
12:02:57,2,22,0,32
12:03:00,2,22,0,32
12:03:02,2,22,0,32
12:03:05,2,22,0,32
12:03:08,2,22,0,32
12:03:11,2,22,0,32
12:03:13,2,22,0,32
12:03:16,2,22,0,32
12:03:19,2,22,0,32
12:03:22,2,22,0,32
12:03:24,2,22,0,32
12:03:27,2,22,0,32
12:03:30,2,22,0,32
12:03:33,2,22,0,32
12:03:36,2,22,0,32
12:03:38,2,22,0,32
12:03:41,2,22,0,32
12:03:44,2,22,0,32
12:03:47,2,22,0,32
12:03:49,2,22,0,32
12:03:52,2,22,0,32
12:03:55,2,22,0,32
12:03:58,2,22,0,32
12:04:00,2,22,0,32
12:04:03,2,22,0,32
12:04:06,2,22,0,32
12:04:09,2,22,0,32
